Year,Country ,Continent,Sub Continent,Date,Arrivals 
2018,BURUNDI,Africa,East Africa,2018/08/31,1
2018,BURUNDI,Africa,East Africa,2018/09/30,1
2018,BURUNDI,Africa,East Africa,2018/10/31,11
2018,BURUNDI,Africa,East Africa,2018/11/30,1
2018,BURUNDI,Africa,East Africa,2018/12/31,2
2018,CAMBODIA,Asia,Southeast Asia,2018/01/31,85
2018,CAMBODIA,Asia,Southeast Asia,2018/02/28,85
2018,CAMBODIA,Asia,Southeast Asia,2018/03/31,103
2018,CAMBODIA,Asia,Southeast Asia,2018/04/30,142
2018,CAMBODIA,Asia,Southeast Asia,2018/05/31,84
2018,CAMBODIA,Asia,Southeast Asia,2018/06/30,38
2018,CAMBODIA,Asia,Southeast Asia,2018/07/31,51
2018,CAMBODIA,Asia,Southeast Asia,2018/08/31,35
2018,CAMBODIA,Asia,Southeast Asia,2018/09/30,37
2018,CAMBODIA,Asia,Southeast Asia,2018/10/31,28
2018,CAMBODIA,Asia,Southeast Asia,2018/11/30,64
2018,CAMBODIA,Asia,Southeast Asia,2018/12/31,19
2018,CAMEROON,Africa,Central Africa,2018/01/31,2
2018,CAMEROON,Africa,Central Africa,2018/02/28,0
2018,CAMEROON,Africa,Central Africa,2018/03/31,1
2018,CAMEROON,Africa,Central Africa,2018/04/30,1
2018,CAMEROON,Africa,Central Africa,2018/05/31,0
2018,CAMEROON,Africa,Central Africa,2018/06/30,4
2018,CAMEROON,Africa,Central Africa,2018/07/31,2
2018,CAMEROON,Africa,Central Africa,2018/08/31,2
2018,CAMEROON,Africa,Central Africa,2018/09/30,4
2018,CAMEROON,Africa,Central Africa,2018/10/31,5
2018,CAMEROON,Africa,Central Africa,2018/11/30,2
2018,CAMEROON,Africa,Central Africa,2018/12/31,1
2018,CANADA,North America,Northern America,2018/01/31,"5,682"
2018,CANADA,North America,Northern America,2018/02/28,"3,999"
2018,CANADA,North America,Northern America,2018/03/31,"5,113"
2018,CANADA,North America,Northern America,2018/04/30,"4,972"
2018,CANADA,North America,Northern America,2018/05/31,"3,297"
2018,CANADA,North America,Northern America,2018/06/30,"4,676"
2018,CANADA,North America,Northern America,2018/07/31,"6,017"
2018,CANADA,North America,Northern America,2018/08/31,"5,440"
2018,CANADA,North America,Northern America,2018/09/30,"2,903"
2018,CANADA,North America,Northern America,2018/10/31,"2,406"
2018,CANADA,North America,Northern America,2018/11/30,"3,496"
2018,CANADA,North America,Northern America,2018/12/31,"4,680"
2018,CAPE VERDE,Africa,West Africa,2018/01/31,1
2018,CAPE VERDE,Africa,West Africa,2018/02/28,0
2018,CAPE VERDE,Africa,West Africa,2018/03/31,0
2018,CAPE VERDE,Africa,West Africa,2018/04/30,0
2018,CAPE VERDE,Africa,West Africa,2018/05/31,0
2018,CAPE VERDE,Africa,West Africa,2018/06/30,0
2018,CAPE VERDE,Africa,West Africa,2018/07/31,2
2018,CAPE VERDE,Africa,West Africa,2018/08/31,1
2018,CAPE VERDE,Africa,West Africa,2018/09/30,1
2018,CAPE VERDE,Africa,West Africa,2018/10/31,0
2018,CAPE VERDE,Africa,West Africa,2018/11/30,0
2018,CAPE VERDE,Africa,West Africa,2018/12/31,1
2018,CENTRAL AFRICAN REPUBLIC,Africa,Central Africa,2018/01/31,0
2018,CENTRAL AFRICAN REPUBLIC,Africa,Central Africa,2018/02/28,0
2018,CENTRAL AFRICAN REPUBLIC,Africa,Central Africa,2018/03/31,0
2018,CENTRAL AFRICAN REPUBLIC,Africa,Central Africa,2018/04/30,0
2018,CENTRAL AFRICAN REPUBLIC,Africa,Central Africa,2018/05/31,0
2018,CENTRAL AFRICAN REPUBLIC,Africa,Central Africa,2018/06/30,0
2018,CENTRAL AFRICAN REPUBLIC,Africa,Central Africa,2018/07/31,1
2018,CENTRAL AFRICAN REPUBLIC,Africa,Central Africa,2018/08/31,0
2018,CENTRAL AFRICAN REPUBLIC,Africa,Central Africa,2018/09/30,0
2018,CENTRAL AFRICAN REPUBLIC,Africa,Central Africa,2018/10/31,0
2018,CENTRAL AFRICAN REPUBLIC,Africa,Central Africa,2018/11/30,0
2018,CENTRAL AFRICAN REPUBLIC,Africa,Central Africa,2018/12/31,0
2018,CHAD,Africa,Central Africa,2018/01/31,0
2018,CHAD,Africa,Central Africa,2018/02/28,0
2018,CHAD,Africa,Central Africa,2018/03/31,0
2018,CHAD,Africa,Central Africa,2018/04/30,0
2018,CHAD,Africa,Central Africa,2018/05/31,0
2018,CHAD,Africa,Central Africa,2018/06/30,0
2018,CHAD,Africa,Central Africa,2018/07/31,1
2018,CHAD,Africa,Central Africa,2018/08/31,1
2018,CHAD,Africa,Central Africa,2018/09/30,0
2018,CHAD,Africa,Central Africa,2018/10/31,0
2018,CHAD,Africa,Central Africa,2018/11/30,2
2018,CHAD,Africa,Central Africa,2018/12/31,0
2018,CHILE,South America,Southern South America,2018/01/31,99
2018,CHILE,South America,Southern South America,2018/02/28,104
2018,CHILE,South America,Southern South America,2018/03/31,109
2018,CHILE,South America,Southern South America,2018/04/30,147
2018,CHILE,South America,Southern South America,2018/05/31,55
2018,CHILE,South America,Southern South America,2018/06/30,43
2018,CHILE,South America,Southern South America,2018/07/31,64
2018,CHILE,South America,Southern South America,2018/08/31,59
2018,CHILE,South America,Southern South America,2018/09/30,55
2018,CHILE,South America,Southern South America,2018/10/31,59
2018,CHILE,South America,Southern South America,2018/11/30,119
2018,CHILE,South America,Southern South America,2018/12/31,89
2018,CHINA,Asia,East Asia,2018/01/31,"24,275"
2018,CHINA,Asia,East Asia,2018/02/28,"35,929"
2018,CHINA,Asia,East Asia,2018/03/31,"21,101"
2018,CHINA,Asia,East Asia,2018/04/30,"17,462"
2018,CHINA,Asia,East Asia,2018/05/31,"17,103"
2018,CHINA,Asia,East Asia,2018/06/30,"20,424"
2018,CHINA,Asia,East Asia,2018/07/31,"27,460"
2018,CHINA,Asia,East Asia,2018/08/31,"26,558"
2018,CHINA,Asia,East Asia,2018/09/30,"19,600"
